Caso;Monto;Año;Responsable;Sector;Partido;Año inicio;Año fin;Comuna;Posición;Beneficiado;Perjudicado;Objetivo;Fundación;Delitos;Estado;Sentencia;Condena;Conclusión;Fuente1;Fuente2;Fuente3;Fuente4;Fuente5
Caso Convenios, arista lencería (Camila Polizzi);250.000.000;2023;Camila Polizzi, Diego Polanco;Izquierda;Independiente;;;Biobío;Fundación;;;;Fundación En ti;estafa, falsificación de documento oficial, usurpación de identidad, lavado de activos;;;;;https://radio.uchile.cl/2023/11/28/755094/;https://elpais.com/chile/2023-08-05/caso-lenceria-la-telenovelesca-arista-de-la-trama-de-corrupcion-que-hace-temblar-la-politica-chilena.html;https://www.malaespinacheck.cl/pais/2024/01/03/los-14-detenidos-en-todo-chile-por-el-caso-convenios/;;
Caso Hermosilla/Caso Audios;239.000.000;2024;Luis Hermosilla, Sergio Muñoz, Andrés Chadqick;Derecha;RN;2018;2022;;;;;;;Filtración de información secreta, asesorías jurídicas por trato directo;En investigación;;;;https://www.latercera.com/opinion/noticia/columna-de-daniel-matamala-cual-elefante/EOAKP2PXWJHSFDBAKRXGVVS5ZA/;;;;
Alcalde de Puente Alto (Germán Codina);203.000.000;2018;Germán Codina;Derecha;RN;;;Puente Alto;Alcalde;;Municipio;;;;;;;;https://www.ciperchile.cl/2023/05/10/caso-itelecom-detectan-66-pagos-en-efectivo-a-principal-asesor-de-german-codina-por-203-millones/;https://www.elciudadano.com/politica/los-18-emblematicos-alcaldes-corruptos-de-la-derecha-historias-de-un-tsunami-delictual/06/22/;;;
Alcalde de Mostazal (Sergio Medel);200.000.000;2022;Sergio Medel;Derecha;UDI;2008;2021;Mostazal;Alcalde;;Municipio;;;;;;;;https://eltipografo.cl/2022/08/presentan-nueva-querella-por-fraude-al-fisco-contra-ex-alcalde-de-mostazal-sergio-medel-a;https://eltipografo.cl/2023/03/deficit-de-8-mil-millones-en-el-municipio-y-querellas-por-fraude-al-fisco-enfrenta-ex-alcalde-de-mostazal;https://www.biobiochile.cl/noticias/nacional/region-de-ohiggins/2022/08/11/municipio-prepara-querellas-tras-millonarias-irregularidades-en-san-francisco-de-mostazal.shtml;;
Alcalde de Recoleta (Daniel Jadue, Farmacias Populares);200.000.000;2024;Daniel Jadue;Izquierda;PC;2019;2024;Recoleta;Alcalde;;;;;cohecho, administración desleal, fraude al Fisco, estafa;;;;arresto domiciliario;https://www.latercera.com/nacional/noticia/mas-de-200-millones-para-sanar-deudas-de-achifarp-y-pagos-a-funcionarios-fantasma-los-hitos-que-marcaron-el-primer-dia-de-formalizacion-del-alcalde-de-recoleta/YGFDCRRVJNFSXAA7KWM3YEIIUQ/;;;;
Alcalde de Calama (Daniel Agusto Pérez);190.000.000;2024;Daniel Agusto Pérez;Derecha;RN;;;Calama;Alcalde;;;;;Fraude al fisco;;;;;https://www.malaespinacheck.cl/pais/2024/01/29/quien-es-daniel-agusto-perez-el-exalcalde-formalizado-por-fraude-al-fisco/;https://www.biobiochile.cl/noticias/nacional/region-de-antofagasta/2024/01/24/son-11-casos-de-karen-rojo-formalizaron-a-exdelegado-de-pinera-en-antofagasta-por-fraude-al-fisco.shtml;;;
Alcalde de Santiago (Felipe Alessandri);188.000.000;2021;Felipe Alessandri;Derecha;RN;;;Santiago;Alcalde;;;;;Pagos de horas extra, pagos de honorarios;;;;;https://www.elciudadano.com/politica/los-18-emblematicos-alcaldes-corruptos-de-la-derecha-historias-de-un-tsunami-delictual/06/22/;;;;
Alcalde de Ñuñoa (Andrés Zarhi);176.000.000;2024;Andrés Zarhi;Derecha;RN;2015;2021;Ñuñoa;Alcalde;;Municipio;;;Fraude al fisco;Formalizado;;;arresto domiciliario nocturno, arraigo nacional;https://www.latercera.com/nacional/noticia/exalcalde-de-nunoa-andres-zarhi-queda-con-arresto-domiciliario-nocturno-tras-formalizacion-por-fraude-al-fisco/64LJ53FVUJA4BIGCC4DMKIJWRU/;https://www.emol.com/noticias/Nacional/2024/02/27/1123065/decretan-arresto-domiciliario-nocturno-andreszarhi.html;;;
Caso Factop, Hermanos Jalaff;161.744.998;2024;Antonio Jalaff, Álvaro Jalaff;Derecha;;2022;2023;;;;;;;delitos tributarios;En investigación;;;;https://www.biobiochile.cl/noticias/economia/actualidad-economica/2024/10/11/sii-se-querello-contra-los-hermanos-jalaff-por-facturas-falsas-y-provocar-dano-fiscal-por-161-744-998.shtml;;;;
Director general de PDI, Héctor Espinosa;146.000.000;2021;Héctor Espinosa;Ninguno;;2015;2017;;Policía de Investigaciones;;;;;malversación de caudales públicos, falsificación de instrumento público, lavado de activos;;;;;https://www.latercera.com/nacional/noticia/formalizan-a-exdirector-general-de-la-pdi-hector-espinosa-fiscalia-le-imputa-apropiacion-de-dineros-de-gastos-reservados-de-la-institucion/IBGS7P3IPVGU3MQU4A7GJDH4UA/;https://www.chvnoticias.cl/exclusivo-chv/todas-las-pruebas-fiscalia-hector-espinosa-pdi_20220828/;;;
Alcalde de Linares (Mario Meza);139.739.316;2020;Mario Meza Vásquez;Derecha;RN;2016;2020;Linares;Alcalde;;;;;;Formalizado;Sí;;;https://cooperativa.cl/noticias/pais/region-del-maule/contraloria-ordeno-sumarios-contra-municipio-de-linares-rincon-acusa/2022-06-22/174906.html;https://www.latercera.com/nacional/noticia/fijan-audiencia-de-formalizacion-para-mario-meza-rn-alcalde-de-linares-por-fraude-al-fisco-reiterado/KZJ7PGAQZFD7ZBI77BS4TXKYNI/;;;
Caso Convenios (Atacama);128.000.000;2023;;Izquierda;DC, PRO;;;Atacama;Fundación;;;;Fundación Comprometidos;;;;;;https://www.latercera.com/nacional/noticia/caso-convenios-ministerio-publico-indaga-traspasos-a-fundaciones-por-mas-de-14-mil-millones-en-ocho-regiones/XUWDKEDIWNDXTOU3RCMSIVQZE4/;https://www.meganoticias.cl/nacional/420687-nexos-politicos-gore-arica-fundacion-comprometidos-280-millones-25-7-2023.html;;;
Caso Cuentas Corrientes, Municipalidad de Lautaro;110.840.000;2024;Raúl Schifferli;Centro;DC;;;Lautaro;Alcalde;;;;;;;;;;https://www.biobiochile.cl/noticias/nacional/region-de-la-araucania/2024/01/25/caso-cuentas-corrientes-contraloria-ordena-al-municipio-de-lautaro-restituir-cerca-de-80-millones.shtml;;;;
Administrador municipal de Viña del Mar;104.000.000;2024;Claudio Boisier;Derecha;UDI;2015;2018;Viña del Mar;Funcionario municipal;;;;;Fraude al fisco;;;;;https://www.theclinic.cl/2024/02/27/pdi-acorrala-al-circulo-de-virginia-reginato-udi-acusa-a-exadministrador-municipal-de-millonarios-gastos-en-restaurantes-y-licorerias/;https://www.soychile.cl/valparaiso/sociedad/2024/01/22/844669/formalizacion-vina-boisier-fisco-reacciones.html;;;
Caso Cuentas Corrientes, Municipalidad de San Carlos;102.605.250;2024;Gastón Suazo;Izquierda;PS;;;San Carlos;Municipio;;;;;;;;;;https://www.latercera.com/nacional/noticia/contraloria-detecta-dos-nuevos-municipios-involucrados-en-el-caso-cuentas-corrientes-y-deriva-antecedentes-a-la-fiscalia/5C3ZRUU3WFF4BFYSN4BG4GD7QE/;https://www.elsancarlino.cl/2024/06/contraloria-detecta-dos-nuevos.html;;;
Alcalde suplente de Tierra Amarilla (Mario Morales);102.000.000;2020;Mario Morales;Izquierda;PS;2016;2020;Tierra Amarilla;Alcalde;;Municipio;;;fraude al fisco, cohecho, soborno;Prisión preventiva;;;;https://www.biobiochile.cl/noticias/nacional/region-de-atacama/2020/08/01/alcalde-suplente-tierra-amarilla-quedo-prision-preventiva-tras-formalizacion-fraudes.shtml;;;;
Ex administrador municipal de Tierra Amarilla;80.069.002;2023;Jaime Bahamondes Cabrera;Centro;DC;2022;2023;Tierra Amarilla;Funcionario municipal;Alcalde;Municipio;;;fraude al fisco;Condenado;Sí;presidio, prohibición de cargo público, multa;condena;https://www.diarioconstitucional.cl/2023/06/20/ex-administrador-municipal-que-aprobo-el-financiamiento-para-que-alcalde-concejales-y-funcionarios-publicos-de-tierra-amarilla-emprendieran-viaje-turistico-a-la-habana-y-varadero-incurre-en-el-delit/;https://www.cde.cl/cde-valora-condena-a-exadministrador-municipal-de-tierra-amarilla-en-caso-concejales-on-tour/;;;
Caso Cuentas Corrientes, Municipalidad de Río Bueno;76.000.000;2024;Luis Reyes;Derecha;UDI;2020;2022;Río Bueno;Alcalde;Empresa;;;;;;;;restitución de fondos;https://www.biobiochile.cl/noticias/nacional/region-de-los-rios/2024/02/15/cuentas-corrientes-rio-bueno-debera-restituir-76-millones-por-pagos-improcedentes-a-gestion-global.shtml;https://www.biobiochile.cl/noticias/nacional/region-de-los-rios/2023/09/24/caso-cuentas-corrientes-exalcalde-de-rio-bueno-declara-en-fiscalia-por-contratacion-de-gestion-global.shtml;;;
Eduardo Gordon, Exgeneral Director de Carabineros;75.479.839;2011;Eduardo Gordon;Ninguno;;2010;2011;;Carabineros;;;;;malversación de caudales públicos;;;tres años y un día de presidio, con el beneficio de libertad vigilada intensiva;Condena;https://www.elciudadano.com/actualidad/exgeneral-gordon-condenado-por-megafraude-en-carabineros-cumplira-pena-en-libertad-vigilada/11/23/;;;;
